ID,Feed,Sentiment
137,الاسلام هو حسن الخلق الا تعرف بان الحبيب صلى الله عليه سلم لقب امينا قبل نزول الوحي,Positive
138,الاعتداءات على المعلمين والاطباء ... جرائم لا تقبل اي تبرير,Negative
139,الاكل زاكي كثير كثير,Positive
140,الانكسار من اسوء الاشياء,Negative
141,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين,Positive
142,الباقيين سخافه سماجه,Negative
143,البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل,Negative
144,البرنامج فاشل جدا,Negative
145,البسمه سر من اسرار الحياه,Positive
146,البقاء في الخيال دمار,Negative
147,البنزين يجي من السعوديه باقل الاسعار الحكومه عندنا تدبل سعره,Negative
148,البيت اللي فيه فرح سعاده دايما بكون متفائل سعيد بحاضره مستقبله,Positive
149,التخلف بعين امه وعين ابو في جامعات الاردن والزعرنه والفساد والفسق والعشق الممنوع,Negative
150,التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله,Negative
151,التفائل حلو في الحياه بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل,Positive
152,التنفس العميق يوفر علاج طبيعي للصداع ,Positive
153,الثقه بالله ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضيه,Positive
154,"الجمال : ليس فقط شيئا نراه بل هو شيء نكتشفه ، روح جميله ، وفكر جميل ، اخلاق جميله ، وادب جميل",Positive
155,"الجنه تحت اقدام الامهات , اللهم اجعل امهاتنا من نساء الجنه",Positive
156,الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم,Negative
157,الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفه فى الوجود,Positive
158,الحب الحقيقي عمله نادره فعلا وهو نعمه كبيره من الله عزوجل,Positive
159,الحب بين الزوجين اوسع ابواب السعاده,Positive
160,الحب في الله شيء جميل جدا,Positive
161,الحريه غاليه لن تجدها عند متسول اخواني ساذج لايملك منطق ولافكر,Negative
162,الحق عالحقير اللي نزل المنشور بجوز اهله لابسين منهم ولك لاتنزل اشي زي هيك يا ,Negative
163,الحق مش على لجنه التحكيم الحق على الاغبيه المشتركين,Negative
164,الحكم سيئ  ,Negative
165,الحكومه قاعده بتخبص رايحين يدمروا البلد الله ينتقم منهم,Negative
166,الحل الوحيد حب الله ورسوله وطاعتهم,Positive
167,الحل الوحيد هو القرب من الله وذكره الا بذكر الله تطمئن القلوب قال الله تعالى,Positive
168,الحلال بين و الحرام بين واتقوا الله,Positive
169,الحمد الله على الاسلام يا رب اهدي كل من احب هذا الدين وكل من تردد في دخوله وارحمنا جميعا,Positive
170,الحمد انا متفائله جدا في كا امور حياتي ورح اضل هيك دائما,Positive
171,الحمد لله اصبح على وجهك المشرق كل يوم,Positive
172,الحمد لله اكسجين يعيد للصدر انفاسه ف تجدها الصوت السعيد الصوت المتئاكل من البكاء,Positive
173,الحمد لله الحمد لله الحمد لله حمدا شاكرا ففضلك ربي,Positive
174,الحمد لله الذى لا يُحمد على مكره سواه,Positive
175,الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع,Positive
176,الحمد لله الذي رزقني بالاسلام,Positive
177,الحمد لله الذي نصرنا نصرا مبين,Positive
178,الحمد لله رب العالمين على عطاه رضا,Positive
179,الحمد لله على نعمه الاسلام وكفى يها نعمه,Positive
180,الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء الضراء,Positive
181,الحمد لله على نعمه العقل و سعه الفهم و نضوج الفكر,Positive
182,الحمد لله كلما ارى ناس اسلموا تعم الفرحه في قلبي,Positive
183,الحمد لله ما اكرمك يا الله,Positive
184,الحمد لله نامل من الله ان يمن علينا بالهدايه,Positive
185,الحمدلله الذي هدانا لهذا وما كنا لنهتدي لوﻻ ان هدانا الله . ﻻ اله اﻻ الله محمد رسول الله,Positive
186,الحمدلله زادت ثقافتي لكثير من الاشياء وتنوعت المفاهيم لدي,Positive
187,الحمدلله على السلامه وماتشوف شر .. طهور وقدامك العافيه ان شاء الله,Positive
188,"الحمدلله على كل حال، الفرصه قائمه، والقادم اجمل",Positive
189,الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه,Positive
190,الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين,Positive
191,الحياه مستمره سواء ضحكت ام بكيت,Negative
192,الخشوع احساس جميل جد امام الله القلب يحب الدمع صافي متعه بعد الصلاه راحه فائقه اتمنى لكل المسلمين هذا الخشوع,Positive
193,الخشوع امر مهم جــدا في الصلاه,Positive
194,الخشوع هو المرحله التاليه للتركيز والتركيز ياتى باطاله القراءه والتدبر واطاله الركوع والسجود,Positive
195,الدال على الخير كفاعله,Positive
196,الدعوه مش بالكلام بس ممكن نكون دعاه باخلاقنا اسلوبنا تعاملنا,Positive
197,الدول المتقدمه الان تتجه لستخدام الطاقه المتجدده لانها اقل كلفه وليس لها مخاطر على البيئه والانسان ونحن الان نعاني من ضائقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدى حاجه المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدوله الاكثر تطور في مجال التكنولوجيا وهي عباره عن جزر وكذلك كم اثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد,Negative
198,الدين عباره عن اخلاق وحسن التعامل مع الناس وتهذيب النفس قبل ما يكون مجموعه من العبادات !,Positive
199,الدين ليس بالمظاهر الدين المعامله حياء وادب واحترام وانتقاء للالفاض الطيبه,Positive
200,الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع,Positive
201,الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان,Negative
202,الرائع سيظل رائعا حتى نهايه العمر,Positive
203,الروح و المال تفداك يا قلبي,Positive
204,الزعل بدايه الطريق للامراض,Negative
205,السعي وراء الرزق عباده و جهاد,Positive
206,السلام عليكم الحقيقه انا لا اعرف شو وقاحه هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما,Negative
207,السهر احد مسببات مرض السكر,Negative
208,الشعب الذي اختار نواب خرجين سجون سوابق بستاهل اكثر من هيك مشان 50 دينار الله لا يرد هيك شعب,Negative
209,الشو اسمو ستار اكاديمي ولا المسخره عل العالم اكاديمي,Negative
210,الصادق ينتظر الفرج ولا يياس من روح الله,Positive
211,"الضغوط النفسيه لها تاثير في النهايه ، سمعت قصه عن اشخاص انتحروا بسبب تعليقات ساخره ضدهم.",Negative
212,الطاقه الشمسيه هي البديل وليست الطاقه النوويه,Negative
213,الظاهر انه جايين يستهبلون عالحكام بس,Negative
214,الظاهر اهلها مفقعين وجهها قبل ما تجي ومغطيه الفلعات,Negative
215,الظاهر عقلك تافه من اصحاب العقول المقفله,Negative
216,العالم العربي مليان عاهات,Negative
217,العاهات اللي عندهم ياناس روحو موتو اشرف,Negative
218,العجوز هذا والرجال الي بجنبه بله واغبياء وانهم يثبطون الواحد,Negative
219,العرب مو بتاع هي الشغلات لاكن نحن فاشلين الله معطينا كل متطلبات التحظر والتطور لاكن نحن لازقين بهلتفاهات ونضن انو هي التحظر,Negative
220,العرق كل شوي يزيد,Negative
221,العنصريه في الاردن لا تتوقف على كلمه اردني وفلسطيني وانما تتجاوزت ذلك الى تصنيف ابناء الوطن الواحد وفقا للعشيره وهذا اسوء حال وصلنا له,Negative
222,الغباء واضح,Negative
223,"الغرب فسق وعائلات مفككه والنساء عاهرات،المدارس تعلم الجنس للاطفال يشربون الكحول وياكلون لحم الخنزير ثم يقول: وجدت في الغرب اسلام بلا مسلمين",Negative
224,الغلط مو من المشاركين الغلط من نفس البرنامج المفروض تكون فى مرحله فرز فى البدايه قبل لا يطلعو الهواء,Negative
225,الغموض لغه لا يتكلم بها الا من ذاق متاعب الدنيا,Negative
226,الف الف مبروك يستاهل والله يوفقكم,Positive
227,الف مبروك تخرج ابناء الظفير من الكليه العسكريه الملكيه من الاردن,Positive
228,الفاتحه علي ارواح الغلابه,Negative
229,الفاشل من يياس ويقف عند اول حاله رسوب,Negative
230,الفلاكا تجعل من يتناولها يعتقد انه زومبي واكل لحوم البشر ويبدا بالبحث عن دم ليشربه وظهرت في التسعينات في امريكيا ثم اختفت,Negative
231,الفن اصبح هابط هذه الايام,Negative
232,القتل نهايه الزوجه اللعوب,Negative
233,القدوه الحسنه خير من النصيحه,Positive
234,القلب الذي يؤمن بالله  لا يياس ابدا  لانه يسير نحو النور واﻷمل .. والحياه ..,Positive
235,الك يوم يا ظالم,Negative
236,الكرامه فوق كل شيء,Positive
237,الللجنه ما تنطاق,Negative
238,اللمه هي احلى اشي بالافراح,Positive
239,الله احفظ احبابي اصدقائي من الحسد الكيد الفتنه العين,Positive
240,الله اخترت اسم غالى على قلبى قوى ربنا يثبتك على دين الاسلام اخترت صح بجد,Positive
241,الله اكبر شو هيدا اكل الرجال,Negative
242,الله اكبر ما احلاكم وما اشجعكم,Positive
243,الله اكبر ما من دابتن الا على الله رزقه,Positive
244,الله اكبر والعزه للسلام,Positive
245,الله اكبر ولله الحمد مصر بخير فيها ناس كتير طيبين,Positive
246,الله اكرم الاكرمين اللهم اعنا على انفسنا واللهم ارضى عنك يارب العالمين,Positive
247,الله الكلام الجميل,Positive
248,الله الله الله يحفظك يا مملكه الانسانيه لم تقتصر مساعده السوريين في الاردن علي المعونات الغذاييه او الطبيه بل حتي شنط مدارس الاطفال بكل شي,Positive
249,الله الله على اخلاق الصحابه اصحاب رسول الله,Positive
250,الله الله عليك يا استاذ عمر بارك الله لك بارك عليك جزاك الله عنا خيرا كثير,Positive
251,الله المستعان على كل ظالم فليس باليد حيله غير ان نقول لا حول ولا قوه الا بالله,Positive
252,الله ايه الجمال ده سبحانك ربي,Positive
253,الله حيك شيخ ابراهيم بالفعل حكم يا نشمي,Negative
254,الله حيهم هالشباب انتوا القدوه,Positive
255,الله خيرا من الدنيا وماء فيها و ما عليها السلام عليكم ورحمه الله تعالى وبركاته اخواني واخواتي,Positive
256,الله على الظالمين,Negative
257,الله على الكلام يا رب اعينا,Positive
258,الله على دينا العظيم,Positive
259,الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين,Positive
260,الله عليك يا شيخ تحفه,Positive
261,الله غلى المسلمين فى توادهم وتراحمهم,Positive
262,الله لا يحرم حدا من العائله الدافيه والذريه الصالحه,Positive
263,الله لا يخلف عليهم لا يكثر خيرهم فعلن شعب مسكين عبد الله النسور بطل رفع الاسعار,Negative
264,الله لا يرفعه من مكانه اللي برفع الاسعار,Negative
265,الله لا يشبعكو يا حراميه,Negative
266,الله لا يشبعكو يا ظلمه انشاء الله كلو بتلقو بالاخره يا ظلمه خافوالله طبعا اذا بتعرفوالله,Negative
267,الله لا يعطي العافيه ولا الصحه للاخوان المفلسين,Negative
268,الله لا يوفقكم محد يخاف علي من البرد,Positive
269,الله ما يحرمنا من كلماتك الحلوه يا شيخنا,Positive
270,الله وكيلك مشحطط اهل دابوق دير غبار عبدون منعم على الفقراء,Negative
271,الله يا ريت كنا في ذاك الزمن,Positive
272,الله ياريت يبقى فى اخلاق كده فى الوقت ده,Positive
273,الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك,Positive
274,الله يبارك لنا فى ايامنا,Positive
275,الله يتقبل صلاتنا,Positive
276,الله يتمم افراح الجميع يا رب,Positive
277,الله يثبت قلبك على ديننا الاسلام,Positive
278,الله يثبتك ينور طريقنا,Positive
279,الله يثبته يا رب ويثبتنا نحن كمان,Positive
280,الله يجعل ابوك وامك من اهل النار اذا بتعيد هالحركه مره ثانيه,Negative
281,الله يحمي البلد من كل مخرب والله يعطيكي العافيه رجال الامن العين السهره على حمايه البلد من اصحاب النفس المريضه انتم النشامى,Positive
282,الله يخزيك,Negative
283,الله يخزيكم عند امن الوطن مافي سلطي ولا كركي ولا طفيلي الاردن فوق الجميع قالوا بنحبك يا وطن رد عليهم الوطن بغصه حبوا بعضكم اول,Negative
284,"الله يخلف علينا بس ، يقال لا فقر اكثر من الجهل ولا غنى افضل من العقل !!",Negative
285,الله يرحم هلبلاد من الحراميه والمتسلقين على قوت الشعب لك الله ياشعبنا,Positive
286,الله يرحمنا برحمته,Positive
287,الله يرزقها كل مشتهي يا رب,Positive
288,الله يرفعهم الى جهنم جنب القذافي باسرع وقت لان الظلم زاد عن حده,Negative
289,الله يزيدك من العلم ما تنتفع به الامه,Positive
290,الله يسامحك حبيبتي افهمتيني غلط,Negative
291,الله يستر على بنات المسلمين جميعا,Positive
292,الله يسعد كل البشر امين يا رب,Positive
293,الله يسعدك يبعد عنك كل شر,Positive
294,الله يشافيك يعافيك من كل داء وهامه اخي سيد الوكيل,Positive
295,الله يصبحك برضاه,Positive
296,الله يعطيك الصحه العافيه,Positive
297,الله يفرح الكل ويجمع بين المتحابين على خير,Positive
298,الله يفضح امكم فضحتونا شو هالسخافه,Negative
299,الله يكتر من امثالك يارب,Positive
300,الله يكثر الافراح,Positive
301,الله يكون في عون الفقير الطبقه المتوسط سوف تنحدر اكثر اكثر,Negative
302,الله يلعن الي علمكم التطور يا متخلفين يا رجعيين,Negative
303,الله يلعن ام هيك نمر,Negative
304,الله يلعن امك وش ها القرف,Negative
305,الله يلعنك,Negative
306,الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقه ولا زبي تفو,Negative
307,الله ينتقم منه حمزه منصور واعوانه حسبنا الله فيهم,Negative
308,الله ينتقم منهم اجمعين اللي في بالي,Negative
309,الله يهدي التائهين والضالين الى طريقه,Positive
310,الله يهدي الجميع للاسلام,Positive
311,الله يهدي النفوس ربي ابعث لنا في هذا اليوم فرح يغير ايامنا وينعش قلوبنا من جديد,Positive
312,الله يوخذكم,Negative
313,الله يوفقكم والله يجعلكم تفوزون كلكم معنا قولوا  امين ,Positive
314,اللهم ابعد عنى شهوات الدنيا وقربنى منك واغفر لى ولكل المومنين,Positive
315,اللهم اتم علينا مكارم الاخلاق,Positive
316,اللهم اجعل سريرتي خير من على نيتي اجعل على نيتي صالحه,Positive
317,اللهم اجعل لنا ايمانا صادقا قلبا خاشعا علما نافعا,Positive
318,اللهم اجعلنا دائما مسلمين صادقين في افكارنا في اعمالنا,Positive
319,اللهم اجعلنا ممن تنظر اليهم بحب اشتياق اجعلنا من عبادك التوابين المخلصين العابدين الحق لدينك احفظنا قنا نار وقودها الناس الحجاره يا رب,Positive
320,اللهم اجعلنا ممن ياخذون بالاسباب,Positive
321,اللهم اجعلنا ممن يعطي الامانه حقه,Positive
322,اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون,Positive
323,اللهم اجعلنا من يتمتعون بروح و ريحان و جنه النعيم من الرحمن صباحكم قطرات من ندى الازهار,Positive
324,اللهم اجعلنا منهم وارزقنا الطاقه ولاراده لزللك ياربى,Positive
325,اللهم اجعلنى خيرا مما يظنون اغفر لي ما لا يعلمون,Positive
326,اللهم اجعلني مقيم الصلاه من ذريتي,Positive
327,اللهم اجعلني من يتشرف به الاسلام,Positive
328,اللهم احسن خواتيم اعمالنا اجعل كل اوقاتنا طاعه,Positive
329,اللهم احفظني بحفظك حسبي الله لا قوه الا بك,Positive
330,اللهم احينا وامتنا على الاسلام وعلى كلمه لا اله الا الله,Positive
331,اللهم اذقنا حبا رائعا حلالا طاهر,Positive
332,اللهم ارزق ابناء المسلمين زوجات صالحات وبنات المسلمين ازواج صالحين,Positive
333,اللهم ارزقنا الاخلاص في القول العمل في السر العلن في الرخاء الشده في العافيه المرض عند الابتلاء,Positive
334,اللهم ارزقنا السلامه العافيه في ديننا دنيانا,Positive
335,اللهم ارزقنا الصحبه الصالحه,Positive
336,اللهم ارزقنا الصدق الاخلاص,Positive
